Sample;Depth;TOC;Clay;Quartz;K-feldspar;Plagioclase;Calcite;Siderite;Dolomite;Pyrite;Barite
Y1-1;727.14;0.57;56;25;0;8;3;2;3;2;1
Y1-2;729;1.12;53;27;0;10;2;0;4;3;1
Y1-3;731.06;1.32;50;30;0;10;2;2;4;3;1
Y1-4;731.9;1.51;52;27;0;9;2;1;4;4;1
Y1-5;733.05;2.03;51;25;0;9;1;0;5;7;2
Y1-6;734.39;1.26;47;29;5;11;1;0;5;3;0
Y1-7;735.25;1.21;44;30;4;12;2;2;4;3;1
Y1-8;736;1.16;42;29;6;15;2;0;3;4;0
Y1-9;736.54;0.9;37;32;10;11;3;1;4;2;0
Y1-10;746.83;1.22;41;32;4;10;4;1;4;3;2
Y1-11;748;1.44;44;29;8;9;4;0;3;3;1
Y1-12;749.29;1.47;43;32;6;8;3;0;4;3;1
Y1-13;750.38;1.39;45;32;3;10;3;0;3;4;1
Y1-14;752.87;0.57;24;45;7;14;5;0;5;0;1
Y1-15;754.72;0.91;26;40;4;19;3;1;5;2;1
Y1-16;755.03;0.51;31;40;0;17;3;0;5;2;2
Y1-17;756;0.47;21;43;0;16;2;0;17;0;1
Y1-18;758.04;0.84;25;48;0;16;3;0;7;0;1
Y1-19;759.19;1.18;35;35;8;13;3;0;2;3;1
Y1-20;762.48;1.15;33;39;5;15;2;0;3;2;1
Y1-21;764.6;0.94;30;37;8;15;3;0;4;2;1
Y1-22;767;0.97;31;39;9;13;3;0;3;0;2
Y1-23;769.3;1.02;33;35;8;15;2;0;4;2;1
Y1-24;775.89;1.23;34;36;8;12;1;0;4;4;1
Y1-25;779.79;1.32;31;39;7;14;2;1;4;2;0
Y1-26;781.2;1.5;31;43;0;13;4;0;3;4;1
Y1-27;790.43;2.5;32;37;10;8;4;0;5;3;1
Y1-28;793.13;4.4;25;42;6;8;3;0;2;13;1
Y1-29;793.5;4.24;26;48;7;10;2;0;3;3;1
Y1-30;793.87;4.37;29;39;0;12;1;0;5;14;0
Y1-31;796.61;3.74;14;74;0;8;1;0;3;0;0
